swanlab: swanlab version 0.7.15 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/runs/115_mainonly_10per/swanlog/run-20260412_165611-ipkubxipwutocey6s4wf
c
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 115_mainonly_10per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/ipkubxipwutocey6s4wfc
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[main] epoch 1/150 step 65 | loss 14846.2781 | w [15.0, 8.0, 1.0] | train det 0.4589 seg 0.9233 cnt 14832.0078 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 66 | loss 13799.3765 | w [15.0, 8.0, 1.0] | train det 0.7511 seg 0.7735 cnt 13781.9219 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 67 | loss 12943.3878 | w [15.0, 8.0, 1.0] | train det 0.3310 seg 0.7767 cnt 12932.2090 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 68 | loss 12161.5035 | w [15.0, 8.0, 1.0] | train det 0.3752 seg 1.1110 cnt 12146.9873 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 69 | loss 13225.2657 | w [15.0, 8.0, 1.0] | train det 0.6250 seg 0.7464 cnt 13209.9199 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 70 | loss 12245.7242 | w [15.0, 8.0, 1.0] | train det 0.3594 seg 1.3347 cnt 12229.6553 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 71 | loss 10217.5865 | w [15.0, 8.0, 1.0] | train det 0.7337 seg 0.5373 cnt 10202.2832 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 72 | loss 10600.9283 | w [15.0, 8.0, 1.0] | train det 0.6553 seg 0.7836 cnt 10584.8301 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 73 | loss 8975.0099 | w [15.0, 8.0, 1.0] | train det 0.4956 seg 0.8700 cnt 8960.6162 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 74 | loss 8815.2586 | w [15.0, 8.0, 1.0] | train det 0.4573 seg 1.2194 cnt 8798.6445 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 75 | loss 8421.6338 | w [15.0, 8.0, 1.0] | train det 0.4601 seg 0.9570 cnt 8407.0762 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 76 | loss 7292.8472 | w [15.0, 8.0, 1.0] | train det 0.4142 seg 0.7537 cnt 7280.6045 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 77 | loss 7915.2918 | w [15.0, 8.0, 1.0] | train det 0.3640 seg 1.2099 cnt 7900.1528 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 78 | loss 8401.0412 | w [15.0, 8.0, 1.0] | train det 0.5802 seg 0.8626 cnt 8385.4375 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 79 | loss 7811.4946 | w [15.0, 8.0, 1.0] | train det 0.7387 seg 1.2017 cnt 7790.8008 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 80 | loss 6071.8900 | w [15.0, 8.0, 1.0] | train det 1.1668 seg 0.8907 cnt 6047.2617 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 81 | loss 5936.3135 | w [15.0, 8.0, 1.0] | train det 0.4153 seg 0.8336 cnt 5923.4150 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 82 | loss 5572.5547 | w [15.0, 8.0, 1.0] | train det 0.5494 seg 1.3004 cnt 5553.9111 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 83 | loss 5400.2800 | w [15.0, 8.0, 1.0] | train det 0.4969 seg 0.9210 cnt 5385.4590 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 84 | loss 7105.7325 | w [15.0, 8.0, 1.0] | train det 0.3545 seg 1.5428 cnt 7088.0728 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 85 | loss 4695.9697 | w [15.0, 8.0, 1.0] | train det 0.5836 seg 0.8663 cnt 4680.2856 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 86 | loss 4494.9358 | w [15.0, 8.0, 1.0] | train det 0.4749 seg 0.9536 cnt 4480.1831 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 87 | loss 4854.7898 | w [15.0, 8.0, 1.0] | train det 0.6191 seg 1.1681 cnt 4836.1582 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 88 | loss 4143.7393 | w [15.0, 8.0, 1.0] | train det 0.5185 seg 0.6969 cnt 4130.3867 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 89 | loss 3715.9807 | w [15.0, 8.0, 1.0] | train det 0.3036 seg 1.5241 cnt 3699.2344 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 90 | loss 3610.6832 | w [15.0, 8.0, 1.0] | train det 0.4578 seg 0.8632 cnt 3596.9106 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 91 | loss 3958.2728 | w [15.0, 8.0, 1.0] | train det 1.0292 seg 0.5386 cnt 3938.5264 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 92 | loss 3285.9632 | w [15.0, 8.0, 1.0] | train det 0.4326 seg 0.7364 cnt 3273.5825 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 93 | loss 4003.4550 | w [15.0, 8.0, 1.0] | train det 0.8425 seg 1.4889 cnt 3978.9070 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 94 | loss 2854.4487 | w [15.0, 8.0, 1.0] | train det 0.4700 seg 0.6548 cnt 2842.1599 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 95 | loss 2772.7180 | w [15.0, 8.0, 1.0] | train det 0.2923 seg 1.2524 cnt 2758.3152 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 96 | loss 3683.7852 | w [15.0, 8.0, 1.0] | train det 0.2288 seg 0.6944 cnt 3674.7974 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 97 | loss 2479.0920 | w [15.0, 8.0, 1.0] | train det 0.5125 seg 0.8086 cnt 2464.9355 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 98 | loss 2331.7900 | w [15.0, 8.0, 1.0] | train det 0.4114 seg 1.0900 cnt 2316.8989 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 99 | loss 2439.3675 | w [15.0, 8.0, 1.0] | train det 0.3287 seg 1.3756 cnt 2423.4319 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 100 | loss 2048.7313 | w [15.0, 8.0, 1.0] | train det 0.4062 seg 0.9128 cnt 2035.3351 | pairs det_seg 0 det_cnt 0 seg_cnt 0
